"Err:522","footprint","DIGIKEY PN","stage2 cnt","emg_dsp cnt","total","notes",
25,402,"RHM27JCT-ND",3,4,7,,
33,402,"P33JCT-ND",7,3,10,,
"0.001uf",402,"PCC1721CT-ND",10,10,20,,
"0.012uf",402,"PCC1700CT-ND",10,0,10,,
"0.01uf",402,"490-4516-1-ND",20,30,50,,
"0.047uf",402,"PCC2142CT-ND",40,0,40,,
"0.1uf",402,"399-3520-1-ND",20,50,70,,
"1.5pF",402,"311-1003-1-ND",10,0,10,,
"10k",402,"RHM10.0KLCT-ND",10,0,10,,
"12.5k",402,"P12.4KLCT-ND",10,0,10,,
"1pF",402,"587-1007-1-ND",10,0,10,,
"1uf",402,"490-1319-1-ND",30,30,60,,
"2.2k",402,"RHM2.2KJCT-ND",10,0,10,,
"2.2nF",402,"PCC222BQCT-ND",2,4,6,,
"2.2uf",402,"PCC2421CT-ND",20,0,20,,
"2.7nH",402,"PCD1851CT-ND",2,0,2,,
"20k",402,"RHM20.0KLCT-ND",10,0,10,,
"220k",402,"RHM220KJCT-ND",1,2,3,,
"22K",402,"P22.0KLCT-ND",10,0,10,,
"270k",402,"RHM270KJCT-ND",10,0,10,,
"3.3k",402,"RHM3.30KLCT-ND",4,0,4,,
"3.9nH",402,"PCD1853CT-ND",2,0,2,,
"327k",402,"P324KLCT-ND",10,0,10,,
"33k",402,"P33.0KLCT-ND",10,0,10,,
"33nF",402,"PCC2140CT-ND",2,0,2,,
"33pf",402,"490-3220-1-ND",10,0,10,,
"3k",402,"541-3.00KLCT-ND",10,0,10,,
"4.7pF",402,"587-1023-1-ND",10,0,10,,
"47k",402,"RHM47.0KLCT-ND",10,0,10,,
"0.47uf",402,"445-3443-1-ND",10,0,10,,
"50k",402,"RHM49.9KLCT-ND",10,0,10,,
"5pf",402,"311-1010-1-ND",10,0,10,,
"6.5k",402,"P6.49KLCT-ND",10,0,10,,
"68nf",402,"PCC2144CT-ND",10,0,10,,
"7pf",402,"490-1277-1-ND",1,2,3,,
"8.2nH",402,"PCD1857CT-ND",2,0,2,,
"825k",402,"P825KLCT-ND",10,0,10,,
"8pf",402,"PCC080CQCT-ND",10,0,10,,
"9.2k",402,"RHM9.10KLCT-ND",10,0,10,,
"90k",402,"RHM90.9KLCT-ND",10,0,10,,
"ferrite",402,"587-1843-1-ND",2,3,5,,
"0.1uf",603,"399-1283-1-ND",10,0,10,,
"10uf",603,"PCC2395CT-ND",8,0,8,,
"1uf",603,"587-1241-1-ND",20,0,20,,
"3.3k",603,"RHM3.3KGCT-ND",10,0,10,,
"4.7uf",603,"490-3302-1-ND",10,0,10,,
"INDUCTOR",603,"445-1553-1-ND",10,3,13,,
"LED",603,"754-1357-1-ND",4,0,4,,
"2.2uh",805,"490-4994-1-ND",2,0,2,,
"150uf","2x100mil","565-3048-ND",1,0,1,,
"JUMP","2x100mil","WM8072-ND",10,7,17,,
"8X2X100","2x8x100mil","609-3238-ND",2,0,2,,
"ADSP_JTAG_CON","7x2x100","A26529-07-ND",1,1,2,,
"8X100","8x100mil","609-3273-ND",3,3,6,,
"RS232_CON","DB9","A32115-ND",1,1,2,,
"FCI_USB_B","FCI_USB_B","609-1039-ND",1,0,1,,
"BF532-160","MBGA-160","ADSP-BF532SBBCZ400-ND",1,0,1,,
"LMV1032-15","MicroSMD-4","LMV1032UP-15CT-ND",40,0,40,,
"LMV1032-25","microSMD-4","LMV1032UP-25CT-ND",70,0,70,,
"NX3225SA","NDK_XTAL","644-1047-1-ND",1,1,2,,
"TPS62410","QFN-10","296-21647-1-ND",1,0,1,,
"ISL28470","QSOP-28","ISL28470FAZ-ND",1,0,1,,
"MAX6711","SC-70-4","MAX6711REXS+TCT-ND",1,0,1,,
"TPS71727","SC-70-5","296-19648-1-ND",2,0,2,,
"UCLAMP33","SOD-323","UCLAMP3301HCT-ND",2,2,4,,
"uclamp0501","SOD-523","UCLAMP0501HCT-ND",4,7,11,,
"MCP3304","SOIC-16","MCP3304-CI/SL-ND",1,0,1,,
"AT45DB081D","SOIC-8","AT45DB081D-SSU-ND",1,1,2,,
"REG101","SOIC-8","REG101UA-5-ND",1,0,1,,
"TLE2426","SOIC-8","296-1345-1-ND",1,0,1,,
"ADUM2400","SOICW-16","ADUM2400BRWZ-ND",2,0,2,,
"BAT54A","SOT-23","BAT54A-FDICT-ND",1,0,1,,
"ZR4040-2.5","SOT-23","ZR40401F25CT-ND",1,0,1,,
"ADCS7476","SOT-23-6","ADCS7476AIMFCT-ND",2,0,2,,
"BAV199","SOT-363","BAV199DW-FDICT-ND",5,0,5,,
"MAX3421E","TQFP-32","MAX3421EEHJ+-ND",1,0,1,,
"OPA4348","TSSOP-14","296-12278-1-ND",2,0,2,,
"ADM3202","TSSOP-16","ADM3202ARUZ-ND",1,1,2,,
"74LCX541","TSSOP-20","MC74LCX541DTR2GOSCT-ND",2,3,5,,
"--emg_dsp--",,,,,0,,
"74LV594ADBR","TSSOP-16","296-3843-1-ND",1,0,1,1,"U3 "
180,402,"311-180JRCT-ND",2,0,2,10,"R25 R22 "
"0.022uf",402,"399-3015-1-ND",1,0,1,10,"C23 "
"3.3uh",1210,"445-1537-1-ND",2,0,2,2,"L1 L3 "
"ABM10XTAL","ABM10","644-1059-1-ND",1,0,1,"16Mhz","on the headstage, actually. "
"ABM10XTAL","ABM10","535-9095-1-ND",1,0,1,"25Mhz","U21 "
"5k",402,"541-4.99KLCT-ND",1,0,1,,"R18 "
"50k",402,"541-51KJCT-ND",4,0,4,,"R7 R23 R42 R51 "
56.2,402,"541-56.2LCT-ND",1,0,1,,"R188 "
"MT48LC16M16A2","VFBGA-54","557-1190-1-ND",1,0,1,,"U10 "
"FCI_USB_A","FCI_USB_A","609-1045-ND",1,0,1,,"U35 "
"LAN83C185","TQFP-64","638-1009-ND",1,0,1,,"U15 "
"S8354MC","SOT-23-5","728-1036-1-ND",1,0,1,,"U27"
